E	j	j
V RHE		mA cm-2
ML_030
1.34214	0.00387	0.27649
1.34405	0.00375	0.26774
1.34613	0.00391	0.27952
1.34804	0.00377	0.26915
1.35011	0.00401	0.28654
1.35204	0.0038	0.27152
1.35409	0.00405	0.2896
1.35604	0.00386	0.27606
1.35811	0.00404	0.28831
1.36002	0.00389	0.2778
1.36209	0.00413	0.29483
1.36402	0.00393	0.28043
1.3661	0.0041	0.2929
1.36803	0.00393	0.28088
1.37009	0.00413	0.29464
1.37201	0.00398	0.28456
1.37408	0.00415	0.29648
1.376	0.00402	0.28748
1.37807	0.0042	0.30028
1.37999	0.00403	0.28772
1.38206	0.00419	0.29925
1.384	0.00406	0.29025
1.38606	0.00423	0.30219
1.38798	0.00412	0.2944
1.39007	0.0043	0.30695
1.39203	0.0041	0.29295
1.39408	0.00428	0.30573
1.39602	0.00413	0.29517
1.39808	0.00432	0.30838
1.4	0.00421	0.3005
1.40206	0.00438	0.31318
1.404	0.00424	0.30277
1.40606	0.00444	0.31681
1.408	0.0043	0.30728
1.41005	0.0044	0.31457
1.41199	0.00428	0.30599
1.41404	0.00443	0.31653
1.416	0.00432	0.30848
1.41808	0.00448	0.31987
1.42003	0.00427	0.30511
1.42208	0.00444	0.31691
1.42402	0.00436	0.31141
1.42607	0.00448	0.32009
1.42799	0.00437	0.31194
1.43006	0.00458	0.32706
1.43201	0.00441	0.31536
1.43405	0.00455	0.32489
1.436	0.0044	0.31433
1.43805	0.00453	0.32331
1.43998	0.00443	0.31669
1.44208	0.00462	0.33029
1.44403	0.00449	0.32037
1.44609	0.0046	0.32893
1.44802	0.00453	0.32331
1.45007	0.00466	0.3327
1.452	0.00458	0.32718
1.45406	0.00472	0.33681
1.456	0.00466	0.33284
1.45804	0.00479	0.34211
1.45999	0.00463	0.33062
1.46204	0.00476	0.33977
1.46398	0.00465	0.33179
1.46603	0.00483	0.34522
1.46798	0.0047	0.3355
1.47004	0.00485	0.34613
1.47199	0.00474	0.33848
1.47403	0.00491	0.35071
1.47597	0.00477	0.34092
1.47802	0.00491	0.35069
1.47996	0.00478	0.3414
1.482	0.005	0.35747
1.48397	0.00486	0.34706
1.48601	0.005	0.35731
1.48797	0.00487	0.34794
1.49	0.00506	0.36134
1.49195	0.00493	0.35236
1.49403	0.00511	0.36526
1.49598	0.00503	0.35893
1.49803	0.00516	0.36875
