E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_047		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.27609	4.86307E-4	0.00752	0.01096	0.0256
1.27658	4.88441E-4	0.00755	0.01101	0.02571
1.27708	5.47196E-4	0.00846	0.01233	0.0288
1.27758	5.49464E-4	0.00849	0.01238	0.02892
1.27808	5.26755E-4	0.00814	0.01187	0.02772
1.27858	4.89675E-4	0.00757	0.01103	0.02577
1.27909	4.37989E-4	0.00677	0.00987	0.02305
1.27959	4.75303E-4	0.00735	0.01071	0.02502
1.28009	4.67533E-4	0.00723	0.01054	0.02461
1.28058	3.99608E-4	0.00618	0.00901	0.02103
1.28108	4.79104E-4	0.00741	0.0108	0.02522
1.28158	4.96144E-4	0.00767	0.01118	0.02611
1.28208	4.33354E-4	0.0067	0.00977	0.02281
1.28257	4.75536E-4	0.00735	0.01072	0.02503
1.28307	4.68234E-4	0.00724	0.01055	0.02464
1.28357	4.2235E-4	0.00653	0.00952	0.02223
1.28407	4.19349E-4	0.00648	0.00945	0.02207
1.28457	4.52061E-4	0.00699	0.01019	0.02379
1.28507	4.23617E-4	0.00655	0.00955	0.0223
1.28557	4.28852E-4	0.00663	0.00966	0.02257
1.28607	4.65032E-4	0.00719	0.01048	0.02448
1.28656	4.09745E-4	0.00633	0.00923	0.02157
1.28706	4.26051E-4	0.00659	0.0096	0.02242
1.28756	4.60797E-4	0.00712	0.01038	0.02425
1.28806	4.63032E-4	0.00716	0.01043	0.02437
1.28858	4.45625E-4	0.00689	0.01004	0.02345
1.28911	4.53061E-4	0.007	0.01021	0.02385
1.2896	5.54165E-4	0.00857	0.01249	0.02917
1.29011	5.03213E-4	0.00778	0.01134	0.02648
1.2906	4.86374E-4	0.00752	0.01096	0.0256
1.2911	5.4066E-4	0.00836	0.01218	0.02846
1.29161	4.45992E-4	0.00689	0.01005	0.02347
1.2921	4.54662E-4	0.00703	0.01025	0.02393
1.2926	5.13884E-4	0.00794	0.01158	0.02705
1.2931	4.79804E-4	0.00742	0.01081	0.02525
1.29359	5.41161E-4	0.00836	0.01219	0.02848
1.29409	5.29623E-4	0.00819	0.01193	0.02787
1.29459	5.2072E-4	0.00805	0.01173	0.02741
1.29509	5.14751E-4	0.00796	0.0116	0.02709
1.29559	5.02146E-4	0.00776	0.01132	0.02643
1.29608	4.52061E-4	0.00699	0.01019	0.02379
1.2966	4.60564E-4	0.00712	0.01038	0.02424
1.29709	4.75736E-4	0.00735	0.01072	0.02504
1.29758	4.95144E-4	0.00765	0.01116	0.02606
1.29808	5.05147E-4	0.00781	0.01138	0.02659
1.29859	5.10249E-4	0.00789	0.0115	0.02686
1.29908	5.13484E-4	0.00794	0.01157	0.02703
1.29958	5.08849E-4	0.00786	0.01147	0.02678
1.30009	4.81605E-4	0.00744	0.01085	0.02535
1.30058	4.99345E-4	0.00772	0.01125	0.02628
1.30107	5.01879E-4	0.00776	0.01131	0.02641
1.30158	4.58697E-4	0.00709	0.01034	0.02414
1.30207	5.40027E-4	0.00835	0.01217	0.02842
1.30257	4.99112E-4	0.00771	0.01125	0.02627
1.30306	5.43128E-4	0.00839	0.01224	0.02859
1.30357	6.22824E-4	0.00963	0.01404	0.03278
1.30407	5.83876E-4	0.00902	0.01316	0.03073
1.30457	5.20486E-4	0.00804	0.01173	0.02739
1.30507	5.60701E-4	0.00867	0.01264	0.02951
1.30557	5.72139E-4	0.00884	0.01289	0.03011
1.30607	5.39293E-4	0.00834	0.01215	0.02838
1.30658	5.47029E-4	0.00845	0.01233	0.02879
1.30707	5.51031E-4	0.00852	0.01242	0.029
1.30757	5.00279E-4	0.00773	0.01127	0.02633
1.30807	5.10349E-4	0.00789	0.0115	0.02686
1.30856	5.55232E-4	0.00858	0.01251	0.02922
1.30908	4.75303E-4	0.00735	0.01071	0.02502
1.30956	4.93343E-4	0.00763	0.01112	0.02597
1.31007	5.15785E-4	0.00797	0.01162	0.02715
1.31056	5.2262E-4	0.00808	0.01178	0.02751
1.31106	4.92042E-4	0.0076	0.01109	0.0259
1.31156	5.28856E-4	0.00817	0.01192	0.02783
1.31206	5.22687E-4	0.00808	0.01178	0.02751
1.31256	4.72535E-4	0.0073	0.01065	0.02487
1.31305	5.03713E-4	0.00779	0.01135	0.02651
1.31355	5.17652E-4	0.008	0.01167	0.02724
1.31406	4.5046E-4	0.00696	0.01015	0.02371
1.31459	4.9331E-4	0.00762	0.01112	0.02596
1.3151	5.03513E-4	0.00778	0.01135	0.0265
1.3156	4.65599E-4	0.0072	0.01049	0.02451
1.3161	4.95577E-4	0.00766	0.01117	0.02608
1.3166	4.87141E-4	0.00753	0.01098	0.02564
1.31709	4.62731E-4	0.00715	0.01043	0.02435
1.31759	4.36455E-4	0.00675	0.00984	0.02297
1.31809	5.02846E-4	0.00777	0.01133	0.02647
1.31859	4.72835E-4	0.00731	0.01066	0.02489
1.31909	4.97078E-4	0.00768	0.0112	0.02616
1.31959	4.99912E-4	0.00773	0.01127	0.02631
1.32009	5.1325E-4	0.00793	0.01157	0.02701
1.32059	5.24388E-4	0.0081	0.01182	0.0276
1.32109	5.61935E-4	0.00869	0.01266	0.02958
1.32159	4.87974E-4	0.00754	0.011	0.02568
1.32208	4.80171E-4	0.00742	0.01082	0.02527
1.32259	5.47763E-4	0.00847	0.01234	0.02883
1.32308	5.74406E-4	0.00888	0.01294	0.03023
1.32358	5.56233E-4	0.0086	0.01253	0.02928
1.32409	5.18119E-4	0.00801	0.01168	0.02727
1.32458	6.1062E-4	0.00944	0.01376	0.03214
1.32508	5.39026E-4	0.00833	0.01215	0.02837
1.32558	5.7604E-4	0.0089	0.01298	0.03032
1.32608	5.36092E-4	0.00829	0.01208	0.02822
1.32657	5.55066E-4	0.00858	0.01251	0.02921
1.32708	5.54099E-4	0.00856	0.01249	0.02916
1.32758	6.02683E-4	0.00932	0.01358	0.03172
1.32808	5.98749E-4	0.00925	0.01349	0.03151
1.32857	6.32228E-4	0.00977	0.01425	0.03328
1.32908	6.14088E-4	0.00949	0.01384	0.03232
1.32959	5.61968E-4	0.00869	0.01266	0.02958
1.33007	5.53132E-4	0.00855	0.01246	0.02911
1.33059	6.09086E-4	0.00941	0.01373	0.03206
1.33108	6.13021E-4	0.00947	0.01381	0.03226
1.33158	5.72439E-4	0.00885	0.0129	0.03013
1.33207	5.58467E-4	0.00863	0.01258	0.02939
1.33257	6.00883E-4	0.00929	0.01354	0.03163
1.33307	5.93813E-4	0.00918	0.01338	0.03125
1.33357	5.09716E-4	0.00788	0.01149	0.02683
1.33407	5.07648E-4	0.00785	0.01144	0.02672
