E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_074		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.32456	-5.28E-05	-0.00474	-0.00765	-0.00251
1.32506	-7.39E-05	-0.00663	-0.01071	-0.00352
1.32556	-7.17E-05	-0.00643	-0.01038	-0.00341
1.32605	-5.65E-05	-0.00507	-0.00818	-0.00269
1.32655	-6.78E-05	-0.00608	-0.00982	-0.00323
1.32706	-7.40E-05	-0.00664	-0.01072	-0.00352
1.32756	-4.20E-05	-0.00377	-0.00608	-0.002
1.32806	-3.04E-06	-2.73E-04	-4.41E-04	-1.45E-04
1.32855	-4.10E-05	-0.00368	-0.00594	-0.00195
1.32905	-2.87E-05	-0.00257	-0.00415	-0.00136
1.32956	-4.31E-05	-0.00387	-0.00624	-0.00205
1.33006	-9.61E-05	-0.00862	-0.01392	-0.00458
1.33056	-7.01E-05	-0.00629	-0.01015	-0.00334
1.33107	-5.24E-05	-0.0047	-0.00759	-0.00249
1.33156	-7.48E-05	-0.00672	-0.01084	-0.00356
1.33206	-4.74E-05	-0.00426	-0.00687	-0.00226
1.33256	-4.50E-05	-0.00404	-0.00652	-0.00214
1.33305	-7.50E-05	-0.00674	-0.01087	-0.00357
1.33355	-7.77E-05	-0.00698	-0.01126	-0.0037
1.33405	-4.39E-05	-0.00394	-0.00635	-0.00209
1.33455	-5.94E-05	-0.00533	-0.0086	-0.00283
1.33504	-7.44E-05	-0.00668	-0.01078	-0.00354
1.33555	-3.57E-05	-0.00321	-0.00517	-0.0017
1.33605	-4.46E-05	-0.004	-0.00646	-0.00212
1.33654	-8.13E-05	-0.0073	-0.01177	-0.00387
1.33704	-5.19E-05	-0.00466	-0.00751	-0.00247
1.33754	-1.35E-05	-0.00121	-0.00196	-6.43E-04
1.33804	-4.66E-05	-0.00418	-0.00675	-0.00222
1.33854	-3.59E-05	-0.00322	-0.0052	-0.00171
1.33904	-2.17E-05	-0.00195	-0.00315	-0.00104
1.33953	-6.44E-05	-0.00578	-0.00933	-0.00307
1.34007	-5.57E-05	-0.005	-0.00807	-0.00265
1.34058	-4.43E-05	-0.00398	-0.00642	-0.00211
1.34108	-4.82E-05	-0.00433	-0.00698	-0.00229
1.34158	-5.31E-05	-0.00477	-0.0077	-0.00253
1.34208	-3.74E-05	-0.00336	-0.00542	-0.00178
1.34258	-4.69E-05	-0.00421	-0.00679	-0.00223
1.34308	-6.01E-05	-0.0054	-0.00871	-0.00286
1.34358	-5.32E-05	-0.00477	-0.0077	-0.00253
1.34408	-5.82E-05	-0.00522	-0.00843	-0.00277
1.34458	-7.82E-05	-0.00702	-0.01132	-0.00372
1.34508	-3.53E-05	-0.00317	-0.00512	-0.00168
1.34558	-3.73E-05	-0.00334	-0.0054	-0.00177
1.34607	-9.49E-05	-0.00852	-0.01375	-0.00452
1.34657	-6.76E-05	-0.00607	-0.0098	-0.00322
1.34707	-5.58E-05	-0.00501	-0.00808	-0.00266
1.34757	-7.05E-05	-0.00633	-0.01022	-0.00336
1.34807	-5.85E-05	-0.00525	-0.00847	-0.00279
1.34856	-3.98E-05	-0.00357	-0.00576	-0.00189
1.34907	-7.55E-05	-0.00678	-0.01094	-0.0036
1.34957	-6.74E-05	-0.00605	-0.00977	-0.00321
1.35006	-5.36E-05	-0.00481	-0.00776	-0.00255
1.35056	-6.34E-05	-0.00569	-0.00918	-0.00302
1.35107	-8.71E-05	-0.00782	-0.01261	-0.00415
1.35156	-4.38E-05	-0.00393	-0.00634	-0.00208
1.35206	-6.36E-05	-0.00571	-0.00922	-0.00303
1.35256	-1.22E-04	-0.01099	-0.01774	-0.00583
1.35306	-8.76E-05	-0.00787	-0.0127	-0.00417
1.35356	-6.90E-05	-0.0062	-0.01	-0.00329
1.35405	-7.91E-05	-0.0071	-0.01146	-0.00377
1.35455	-4.64E-05	-0.00416	-0.00672	-0.00221
1.35506	-5.90E-05	-0.0053	-0.00855	-0.00281
1.35556	-6.42E-05	-0.00577	-0.00931	-0.00306
1.35606	-5.84E-05	-0.00524	-0.00846	-0.00278
1.35656	-2.17E-05	-0.00195	-0.00315	-0.00103
1.35705	-5.55E-05	-0.00498	-0.00803	-0.00264
1.35756	-5.02E-05	-0.0045	-0.00727	-0.00239
1.35806	-4.70E-05	-0.00422	-0.00681	-0.00224
1.35855	-7.27E-05	-0.00652	-0.01053	-0.00346
1.35904	-1.15E-04	-0.01029	-0.01661	-0.00546
1.35955	-6.66E-05	-0.00598	-0.00965	-0.00317
1.36005	-6.86E-05	-0.00616	-0.00994	-0.00327
1.36054	-1.31E-04	-0.01173	-0.01892	-0.00622
1.36105	-7.45E-05	-0.00668	-0.01079	-0.00355
1.36155	-8.02E-05	-0.0072	-0.01161	-0.00382
1.36204	-9.75E-05	-0.00876	-0.01413	-0.00464
1.36254	-7.40E-05	-0.00664	-0.01072	-0.00352
1.36305	-6.82E-05	-0.00612	-0.00988	-0.00325
1.36354	-6.28E-05	-0.00563	-0.00909	-0.00299
1.36404	-4.68E-05	-0.0042	-0.00677	-0.00223
1.36454	-6.08E-05	-0.00545	-0.0088	-0.00289
1.36504	-8.56E-05	-0.00768	-0.0124	-0.00408
1.36554	-6.62E-05	-0.00595	-0.0096	-0.00315
1.36604	-3.77E-05	-0.00339	-0.00546	-0.0018
1.36655	-5.97E-05	-0.00536	-0.00864	-0.00284
1.36705	-6.84E-05	-0.00614	-0.0099	-0.00326
1.36755	-5.18E-05	-0.00465	-0.0075	-0.00247
1.36805	-5.34E-05	-0.00479	-0.00774	-0.00254
1.36855	-7.43E-05	-0.00667	-0.01076	-0.00354
1.36904	-4.04E-05	-0.00362	-0.00585	-0.00192
1.36955	-4.44E-06	-3.99E-04	-6.43E-04	-2.12E-04
1.37004	-4.50E-05	-0.00404	-0.00651	-0.00214
1.37054	-3.83E-05	-0.00344	-0.00555	-0.00182
1.37104	-7.08E-06	-6.35E-04	-0.00103	-3.37E-04
1.37154	-3.31E-05	-0.00297	-0.0048	-0.00158
1.37204	-2.65E-05	-0.00238	-0.00384	-0.00126
1.37254	2.16E-05	0.00194	0.00313	0.00103
1.37304	-2.67E-05	-0.0024	-0.00387	-0.00127
1.37354	-1.69E-05	-0.00152	-0.00245	-8.04E-04
1.37403	1.82E-05	0.00164	0.00264	8.68E-04
1.37453	3.29E-06	2.96E-04	4.77E-04	1.57E-04
1.37504	-2.30E-05	-0.00207	-0.00333	-0.0011
1.37553	-1.61E-06	-1.44E-04	-2.33E-04	-7.65E-05
1.37603	8.50E-06	7.63E-04	0.00123	4.05E-04
1.37653	-3.29E-05	-0.00295	-0.00476	-0.00156
1.37703	-1.32E-05	-0.00119	-0.00192	-6.31E-04
1.37752	1.67E-05	0.0015	0.00242	7.95E-04
1.37802	-1.33E-05	-0.0012	-0.00193	-6.35E-04
