E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_072		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.29571	8.02424E-4	0.00829	0.01579	0.0472
1.29621	8.01524E-4	0.00828	0.01577	0.04715
1.29671	8.03258E-4	0.0083	0.01581	0.04725
1.29721	8.24999E-4	0.00852	0.01623	0.04853
1.29771	7.85418E-4	0.00811	0.01545	0.0462
1.29821	7.56107E-4	0.00781	0.01488	0.04448
1.2987	7.68145E-4	0.00794	0.01511	0.04518
1.2992	7.54473E-4	0.00779	0.01485	0.04438
1.2997	7.34799E-4	0.00759	0.01446	0.04322
1.3002	7.51739E-4	0.00777	0.01479	0.04422
1.3007	7.77415E-4	0.00803	0.0153	0.04573
1.30119	7.90186E-4	0.00816	0.01555	0.04648
1.30169	8.34836E-4	0.00862	0.01643	0.04911
1.30219	8.43873E-4	0.00872	0.0166	0.04964
1.30269	8.53643E-4	0.00882	0.0168	0.05021
1.30319	8.32535E-4	0.0086	0.01638	0.04897
1.30369	8.41772E-4	0.0087	0.01656	0.04952
1.30419	8.32869E-4	0.0086	0.01639	0.04899
1.30469	8.42439E-4	0.0087	0.01658	0.04956
1.30519	8.33369E-4	0.00861	0.0164	0.04902
1.30569	8.59545E-4	0.00888	0.01691	0.05056
1.30619	8.03324E-4	0.0083	0.01581	0.04725
1.30669	8.47341E-4	0.00875	0.01667	0.04984
1.30719	8.37004E-4	0.00865	0.01647	0.04924
1.30769	8.40705E-4	0.00868	0.01654	0.04945
1.30818	8.25833E-4	0.00853	0.01625	0.04858
1.30869	7.81316E-4	0.00807	0.01537	0.04596
1.30918	7.63476E-4	0.00789	0.01502	0.04491
1.30968	7.91787E-4	0.00818	0.01558	0.04658
1.31018	7.82483E-4	0.00808	0.0154	0.04603
1.31068	7.80783E-4	0.00807	0.01536	0.04593
1.31117	7.79416E-4	0.00805	0.01534	0.04585
1.31168	7.65577E-4	0.00791	0.01506	0.04503
1.31218	7.51072E-4	0.00776	0.01478	0.04418
1.31268	7.78715E-4	0.00804	0.01532	0.04581
1.31318	8.13128E-4	0.0084	0.016	0.04783
1.31368	8.31201E-4	0.00859	0.01636	0.04889
1.31418	8.10194E-4	0.00837	0.01594	0.04766
1.31469	8.58845E-4	0.00887	0.0169	0.05052
1.31519	8.52476E-4	0.00881	0.01677	0.05015
1.31571	8.36337E-4	0.00864	0.01646	0.0492
1.31621	8.24899E-4	0.00852	0.01623	0.04852
1.31671	8.58545E-4	0.00887	0.01689	0.0505
1.31721	8.22965E-4	0.0085	0.01619	0.04841
1.31771	7.71813E-4	0.00797	0.01519	0.0454
1.31821	8.0119E-4	0.00828	0.01576	0.04713
1.31871	7.89719E-4	0.00816	0.01554	0.04645
1.31921	7.74214E-4	0.008	0.01523	0.04554
1.31971	8.04191E-4	0.00831	0.01582	0.04731
1.32021	8.13928E-4	0.00841	0.01602	0.04788
1.3207	8.04591E-4	0.00831	0.01583	0.04733
1.3212	8.1763E-4	0.00845	0.01609	0.0481
1.3217	8.38871E-4	0.00867	0.01651	0.04935
1.3222	8.41972E-4	0.0087	0.01657	0.04953
1.3227	8.37904E-4	0.00866	0.01649	0.04929
1.32319	8.36703E-4	0.00864	0.01646	0.04922
1.3237	8.4464E-4	0.00873	0.01662	0.04968
1.3242	8.30768E-4	0.00858	0.01635	0.04887
