X	Z
µm	µm
907.363	-0.046
908.75	-0.085
910.138	-0.062
911.525	-0.04
912.912	-0.034
914.3	-0.081
915.687	-0.075
917.075	-0.071
918.462	-0.049
919.849	-0.03
921.237	-0.087
922.624	-0.079
924.012	-0.064
925.399	-0.041
926.786	-0.075
928.174	-0.068
929.561	-0.057
930.949	-0.046
932.336	-0.066
933.724	-0.08
935.111	-0.062
936.498	-0.047
937.886	-0.032
939.273	-0.121
940.661	-0.057
942.048	-0.04
943.435	-0.086
944.823	-0.083
946.21	-0.074
947.598	-0.054
948.985	-0.026
950.372	-0.046
951.76	-0.062
953.147	-0.079
954.535	-0.094
955.922	-0.08
957.309	-0.05
958.697	-0.086
960.084	-0.097
961.472	-0.102
962.859	-0.102
964.246	-0.075
965.634	-0.082
967.021	-0.09
968.409	-0.086
969.796	-0.07
971.183	-0.055
972.571	-0.059
973.958	-0.058
975.346	-0.052
976.733	-0.084
978.12	-0.07
979.508	-0.105
980.895	-0.106
982.283	-0.08
983.67	-0.034
985.057	-0.099
986.445	-0.098
987.832	-0.059
989.22	-0.074
990.607	-0.064
991.995	-0.05
993.382	-0.061
994.769	-0.084
996.157	-0.065
997.544	-0.061
998.932	-0.057
1000.319	-0.107
1001.706	-0.087
1003.094	-0.064
1004.481	-0.08
1005.869	-0.04
1007.256	-0.08
1008.643	-0.087
1010.031	-0.085
1011.418	-0.043
1012.806	-0.048
1014.193	-0.101
1015.58	-0.116
1016.968	-0.13
1018.355	-0.106
1019.743	-0.086
1021.13	-0.067
1022.517	-0.071
1023.905	-0.01
1025.292	-0.024
1026.68	-0.01
1028.067	0.024
1029.454	-0.054
1030.842	-0.022
1032.229	-0.066
1033.617	-0.086
1035.004	-0.146
1036.391	-0.158
1037.779	-0.202
1039.166	-0.248
1040.554	-0.125
1041.941	-0.1
1043.328	-0.125
1044.716	-0.157
1046.103	-0.035
1047.491	0.012
1048.878	-0.041
1050.266	-0.047
1051.653	0.045
1053.04	-0.028
1054.428	-0.025
1055.815	-0.044
1057.203	-0.04
1058.59	-0.063
1059.977	-0.059
1061.365	-0.094
1062.752	-0.088
1064.14	-0.036
1065.527	-0.028
1066.914	-0.037
1068.302	0.008
1069.689	0.041
1071.077	-0.029
1072.464	-0.026
1073.851	-0.009
1075.239	-0.009
1076.626	0.013
1078.014	-0.017
1079.401	-0.058
1080.788	-0.038
1082.176	-0.066
1083.563	-0.036
1084.951	-0.04
1086.338	-0.054
1087.725	-0.071
1089.113	-0.067
1090.5	-0.06
1091.888	-0.023
1093.275	-0.001
1094.662	-0.068
1096.05	-0.093
1097.437	-0.074
1098.825	-0.048
1100.212	-0.056
1101.6	-0.033
1102.987	-0.054
1104.374	-0.07
1105.762	-0.17
1107.149	-0.01
1108.537	-0.07
1109.924	0
1111.311	0.099
1112.699	-0.063
1114.086	0.016
1115.474	0.113
1116.861	-0.03
1118.248	-0.042
1119.636	-0.025
1121.023	-0.065
1122.411	-0.099
1123.798	-0.154
1125.185	-0.034
1126.573	-0.047
1127.96	-0.011
1129.348	0.029
1130.735	0.001
1132.122	-0.025
1133.51	-0.017
1134.897	-0.024
1136.285	-0.052
1137.672	0.049
1139.059	0.185
1140.447	0.105
1141.834	0.094
1143.222	-0.023
1144.609	0.163
1145.996	0.036
1147.384	0.031
1148.771	0
1150.159	0.061
1151.546	0.136
1152.933	0.103
1154.321	0.31
1155.708	0.31
1157.096	0.22
1158.483	0.156
1159.871	0.163
1161.258	0.221
1162.645	0.175
1164.033	0.234
1165.42	0.253
1166.808	0.329
1168.195	0.288
1169.582	0.372
1170.97	0.438
1172.357	0.221
1173.745	0.514
1175.132	0.655
1176.519	0.61
1177.907	0.517
1179.294	0.575
1180.682	0.414
1182.069	0.323
1183.456	0.373
1184.844	0.232
1186.231	0.123
1187.619	0.015
1189.006	0.301
1190.393	0.443
1191.781	0.151
1193.168	-0.05
1194.556	0.143
1195.943	0.14
1197.33	0.105
1198.718	0.18
1200.105	0.184
1201.493	0.226
1202.88	0.378
1204.267	0.519
1205.655	0.378
1207.042	0.535
1208.43	0.477
1209.817	0.253
1211.204	0.348
1212.592	0.202
1213.979	0.082
1215.367	0.381
1216.754	0.336
1218.142	0.297
1219.529	0.413
1220.916	0.284
1222.304	0.34
1223.691	0.366
1225.079	0.137
1226.466	0.279
1227.853	0.27
1229.241	0.161
1230.628	0.332
1232.016	0.488
1233.403	0.507
1234.79	0.402
1236.178	0.226
1237.565	0.159
1238.953	0.209
1240.34	0.56
1241.727	0.467
1243.115	0.42
