X	Z
µm	µm
886.781	0.357
888.169	0.2
889.557	-0.553
890.944	-0.3
892.332	-0.096
893.72	0.26
895.108	0.356
896.495	0.147
897.883	0.279
899.271	0.29
900.659	0.128
902.046	0.098
903.434	0.285
904.822	0.29
906.21	0.265
907.597	0.081
908.985	0.285
910.373	0.479
911.761	0.478
913.148	0.448
914.536	0.206
915.924	0.024
917.312	-0.053
918.7	0.029
920.087	0
921.475	0.062
922.863	0.047
924.251	0.092
925.638	-0.128
927.026	-0.051
928.414	0.186
929.802	0.229
931.189	-0.003
932.577	0.305
933.965	0.149
935.353	-0.015
936.74	-0.126
938.128	-0.157
939.516	0.033
940.904	-0.348
942.292	-0.113
943.679	-0.147
945.067	-0.084
946.455	0.054
947.843	0.539
949.23	0.387
950.618	-0.046
952.006	-0.183
953.394	-0.033
954.781	-0.018
956.169	0.084
957.557	0.455
958.945	0.649
960.332	0.262
961.72	-0.023
963.108	-0.296
964.496	-0.203
965.884	-0.033
967.271	-0.009
968.659	-0.107
970.047	0.283
971.435	0.158
972.822	0.299
974.21	0.063
975.598	0.129
976.986	0.345
978.373	0.485
979.761	0.343
981.149	0.094
982.537	0.023
983.924	0.174
985.312	0.507
986.7	0.59
988.088	0.583
989.476	0.47
990.863	0.318
992.251	0.239
993.639	0.17
995.027	0.006
996.414	0.238
997.802	0.507
999.19	0.502
1000.578	0.336
1001.965	0.163
1003.353	0
1004.741	-0.059
1006.129	-0.257
1007.516	-0.016
1008.904	0.139
1010.292	0.046
1011.68	-0.305
1013.067	-0.211
1014.455	0.076
1015.843	0.141
1017.231	-0.022
1018.619	0.052
1020.006	0.301
1021.394	0.343
1022.782	0.256
1024.17	0.289
1025.557	0.356
1026.945	0.321
1028.333	0.178
1029.721	0.228
1031.108	0.232
1032.496	0.198
1033.884	0.122
1035.272	0.038
1036.659	0.068
1038.047	0.178
1039.435	0.211
1040.823	-0.189
1042.211	-0.117
1043.598	0.099
1044.986	-0.004
1046.374	0.087
1047.762	0.807
1049.149	1.204
1050.537	1.224
1051.925	1.108
1053.313	0.865
1054.7	0.506
1056.088	0.122
1057.476	0.386
1058.864	0.439
1060.251	0.295
1061.639	0.297
1063.027	0.379
1064.415	0.501
1065.803	0.332
1067.19	-0.028
1068.578	0.076
1069.966	-0.02
1071.354	0.009
1072.741	-0.057
1074.129	-0.048
1075.517	-0.023
1076.905	0.178
1078.292	-0.063
1079.68	0.16
1081.068	0.108
1082.456	0.08
1083.843	0.059
1085.231	0.106
1086.619	-0.007
1088.007	0.271
1089.394	0.489
1090.782	0.353
1092.17	0.066
1093.558	0.251
1094.946	0.183
1096.333	0.025
1097.721	0.083
1099.109	0.383
1100.497	0.36
1101.884	0.594
1103.272	0.755
1104.66	0.161
1106.048	-0.215
1107.435	-0.164
1108.823	0.259
1110.211	-0.094
1111.599	-0.237
1112.986	-0.179
1114.374	-0.116
1115.762	0.048
1117.15	0.141
1118.538	0.006
1119.925	-0.013
1121.313	-0.009
1122.701	-0.008
1124.089	0.222
1125.476	0.186
1126.864	0.224
1128.252	0.069
1129.64	0.041
1131.027	0.144
1132.415	0.186
1133.803	0.141
1135.191	0.422
1136.578	0.396
1137.966	0.721
1139.354	0.766
1140.742	0.515
1142.13	0.441
1143.517	0.211
1144.905	0.29
1146.293	0.382
1147.681	0.11
1149.068	0.266
1150.456	0.03
1151.844	0.26
1153.232	0.477
1154.619	0.605
1156.007	0.608
1157.395	0.822
1158.783	1.086
1160.17	1.241
1161.558	0.966
1162.946	0.67
1164.334	0.477
1165.721	0.427
1167.109	0.543
1168.497	0.623
1169.885	0.616
1171.273	0.537
1172.66	0.374
1174.048	0.177
1175.436	-0.046
1176.824	0.009
1178.211	0.048
1179.599	0.156
1180.987	0.125
1182.375	-0.083
1183.762	-0.14
1185.15	-0.088
1186.538	-0.1
1187.926	0.062
1189.313	0.136
1190.701	0.259
1192.089	0.647
1193.477	0.335
1194.865	0.344
1196.252	0.398
1197.64	0.24
1199.028	0.356
1200.416	0.677
1201.803	0.796
1203.191	0.095
1204.579	-0.107
1205.967	-0.04
1207.354	0.065
1208.742	0.163
1210.13	0.229
1211.518	0.256
1212.905	0.148
1214.293	-0.089
1215.681	-0.207
1217.069	-0.081
1218.457	-0.019
1219.844	-0.071
1221.232	0.036
1222.62	0.012
1224.008	0.047
1225.395	-0.034
1226.783	0.438
1228.171	0.058
1229.559	0.264
1230.946	0.097
1232.334	0.207
1233.722	0.248
1235.11	0.278
1236.497	0.296
1237.885	0.539
1239.273	1.043
1240.661	1.713
1242.048	2.01
1243.436	1.982
1244.824	1.584
1246.212	1.111
1247.6	0.549
1248.987	0.296
1250.375	0.26
1251.763	0.03
1253.151	0.527
1254.538	0.596
1255.926	0.642
1257.314	0.795
1258.702	0.865
1260.089	0.771
1261.477	0.604
1262.865	0.37
1264.253	0.216
1265.64	0.035
1267.028	-0.004
1268.416	-0.021
1269.804	-0.061
1271.192	0.012
1272.579	0.292
1273.967	0.288
1275.355	0.467
1276.743	0.31
1278.13	0.205
1279.518	0.299
1280.906	0.432
1282.294	0.122
1283.681	0.235
1285.069	0.296
1286.457	0.226
1287.845	0.19
1289.232	0.085
1290.62	0.175
1292.008	0.136
1293.396	0.131
1294.784	0.256
1296.171	0.192
1297.559	0.289
1298.947	0.474
1300.335	0.612
1301.722	0.652
1303.11	0.614
1304.498	0.603
1305.886	0.656
1307.273	0.489
1308.661	0.889
1310.049	1.218
1311.437	1.498
1312.824	1.532
1314.212	1.164
1315.6	0.211
1316.988	0.101
1318.375	0.319
1319.763	0.398
1321.151	0.062
1322.539	-0.004
1323.927	0.118
1325.314	0.158
1326.702	0.373
1328.09	0.762
1329.478	1.398
1330.865	1.017
1332.253	0.858
1333.641	0.718
1335.029	0.506
1336.416	0.43
1337.804	1.23
1339.192	1.966
1340.58	2.626
1341.967	2.985
1343.355	2.965
1344.743	2.619
1346.131	2.368
1347.519	2.181
1348.906	1.838
1350.294	1.118
1351.682	0.24
1353.07	0.163
1354.457	0.562
1355.845	0.641
1357.233	0.956
1358.621	1.509
1360.008	1.646
1361.396	1.626
1362.784	1.398
1364.172	1.054
1365.559	0.907
1366.947	0.639
1368.335	0.504
1369.723	0.747
1371.111	0.536
1372.498	0.659
1373.886	0.695
1375.274	0.877
1376.662	1.286
1378.049	1.611
1379.437	1.698
1380.825	1.617
1382.213	1.59
1383.6	1.427
1384.988	1.28
1386.376	1.105
1387.764	0.919
1389.151	0.887
1390.539	1.136
1391.927	1.191
1393.315	1.144
1394.702	1.043
1396.09	0.935
1397.478	0.545
1398.866	0.42
1400.254	0.151
1401.641	0.761
1403.029	0.479
1404.417	0.463
1405.805	0.444
1407.192	0.403
1408.58	0.33
1409.968	0.283
1411.356	0.147
1412.743	0.241
1414.131	0.468
1415.519	0.397
1416.907	0.39
1418.294	0.386
1419.682	0.496
1421.07	0.268
1422.458	0.732
1423.846	0.796
1425.233	0.574
1426.621	1.056
1428.009	1.467
1429.397	1.737
1430.784	1.771
1432.172	1.787
1433.56	1.795
1434.948	1.76
1436.335	1.476
1437.723	1.078
1439.111	0.867
1440.499	0.958
1441.886	0.635
1443.274	0.675
1444.662	0.476
1446.05	0.413
1447.438	0.574
1448.825	0.525
1450.213	0.275
1451.601	0.68
1452.989	0.324
1454.376	0.48
1455.764	0.444
1457.152	0.731
1458.54	0.57
1459.927	0.089
1461.315	0.058
1462.703	0.226
1464.091	0.133
1465.478	0.192
1466.866	0.644
1468.254	0.599
1469.642	0.153
1471.029	0.397
1472.417	0.448
1473.805	0.777
1475.193	0.468
1476.581	0.518
1477.968	0.352
1479.356	0.323
1480.744	0.069
1482.132	0.334
1483.519	0.386
1484.907	0.401
1486.295	0.152
1487.683	0.105
1489.07	0.911
1490.458	0.367
1491.846	0.438
1493.234	0.403
1494.621	0.125
1496.009	0.29
1497.397	0.493
1498.785	0.392
1500.173	0.444
1501.56	0.285
1502.948	0.297
1504.336	0.535
1505.724	0.327
1507.111	0.19
1508.499	0.045
1509.887	-0.208
1511.275	-0.053
1512.662	0.459
1514.05	0.315
1515.438	0.169
1516.826	0.273
1518.213	0.282
1519.601	0.343
1520.989	0.416
1522.377	0.172
1523.765	0.317
1525.152	0.375
1526.54	0.127
1527.928	0.128
1529.316	0.161
1530.703	0.127
1532.091	0.381
1533.479	0.435
1534.867	0.395
1536.254	0.363
1537.642	0.544
1539.03	0.282
1540.418	0.467
1541.805	0.23
1543.193	0.373
1544.581	0.611
1545.969	0.625
1547.356	0.015
1548.744	-0.017
1550.132	0.044
1551.52	0.276
1552.908	0.368
1554.295	0.104
1555.683	0.259
1557.071	0.244
1558.459	0.374
1559.846	0.114
1561.234	-0.087
1562.622	0.01
1564.01	-0.129
1565.397	-0.006
1566.785	0.081
1568.173	0.445
1569.561	0.089
1570.948	0.023
1572.336	0.019
1573.724	0.134
1575.112	0.292
1576.5	0.533
1577.887	0.289
1579.275	0.27
1580.663	0.366
1582.051	-0.051
1583.438	0.06
1584.826	0.027
1586.214	0.154
1587.602	0.241
1588.989	0.555
1590.377	0.246
1591.765	0.403
1593.153	0.304
1594.54	0.055
1595.928	0.271
1597.316	0.065
1598.704	0.226
1600.092	-0.141
1601.479	-0.044
1602.867	0.183
1604.255	0.094
1605.643	0.342
1607.03	0.104
1608.418	0.14
1609.806	0.099
1611.194	-0.154
1612.581	-0.042
1613.969	-0.007
1615.357	0.332
1616.745	0.438
1618.132	0.342
1619.52	0.478
1620.908	0.143
1622.296	0.092
1623.683	-0.04
1625.071	0.439
1626.459	0.096
1627.847	0.059
1629.235	0.092
1630.622	0.203
1632.01	-0.063
1633.398	0.219
1634.786	0.478
1636.173	0.092
1637.561	0.058
1638.949	0.126
1640.337	0.095
1641.724	0.266
1643.112	0.149
1644.5	0.214
1645.888	0.389
1647.275	0.243
1648.663	0.202
1650.051	-0.068
1651.439	-0.021
1652.827	-0.039
1654.214	-0.161
1655.602	-0.003
1656.99	-0.033
1658.378	-0.047
1659.765	-0.061
1661.153	-0.134
1662.541	0.041
1663.929	0.007
1665.316	-0.041
1666.704	-0.051
1668.092	-0.178
1669.48	0.064
1670.867	-0.115
1672.255	-0.126
1673.643	-0.119
1675.031	-0.08
1676.419	-0.124
1677.806	-0.001
1679.194	-0.074
1680.582	-0.14
1681.97	-0.197
1683.357	-0.151
1684.745	-0.124
1686.133	-0.006
1687.521	-0.051
1688.908	-0.048
1690.296	-0.106
1691.684	-0.091
1693.072	-0.058
1694.459	-0.087
1695.847	-0.121
1697.235	-0.112
1698.623	-0.094
1700.011	-0.093
1701.398	-0.114
1702.786	-0.119
1704.174	-0.157
1705.562	-0.146
1706.949	-0.192
1708.337	-0.183
1709.725	-0.169
1711.113	-0.213
1712.5	-0.225
1713.888	-0.211
1715.276	-0.21
1716.664	-0.233
1718.051	-0.227
1719.439	-0.202
1720.827	-0.222
1722.215	-0.242
1723.602	-0.254
1724.99	-0.241
1726.378	-0.22
1727.766	-0.215
1729.154	-0.227
1730.541	-0.216
1731.929	-0.203
1733.317	-0.208
1734.705	-0.191
1736.092	-0.211
1737.48	-0.206
1738.868	-0.198
1740.256	-0.197
1741.643	-0.187
1743.031	-0.172
1744.419	-0.205
1745.807	-0.226
