X	Z
µm	µm
874.66	-0.084
876.048	-0.101
877.437	-0.093
878.825	-0.089
880.213	-0.087
881.602	-0.101
882.99	-0.093
884.378	-0.083
885.767	-0.069
887.155	-0.089
888.543	-0.091
889.932	-0.097
891.32	-0.093
892.708	-0.071
894.097	-0.075
895.485	-0.1
896.873	-0.069
898.262	-0.077
899.65	-0.075
901.038	-0.081
902.427	-0.087
903.815	-0.098
905.203	-0.07
906.592	-0.069
907.98	-0.075
909.369	-0.094
910.757	-0.085
912.145	-0.083
913.534	-0.087
914.922	-0.076
916.31	-0.077
917.699	-0.095
919.087	-0.085
920.475	-0.094
921.864	-0.086
923.252	-0.078
924.64	-0.085
926.029	-0.096
927.417	-0.093
928.805	-0.088
930.194	-0.089
931.582	-0.072
932.97	-0.094
934.359	-0.083
935.747	-0.08
937.136	-0.099
938.524	-0.092
939.912	-0.089
941.301	-0.1
942.689	-0.097
944.077	-0.097
945.466	-0.083
946.854	-0.083
948.242	-0.095
949.631	-0.083
951.019	-0.074
952.407	-0.087
953.796	-0.087
955.184	-0.079
956.572	-0.112
957.961	-0.099
959.349	-0.083
960.737	-0.088
962.126	-0.114
963.514	-0.097
964.902	-0.09
966.291	-0.092
967.679	-0.08
969.068	-0.107
970.456	-0.1
971.844	-0.094
973.233	-0.113
974.621	-0.105
976.009	-0.098
977.398	-0.096
978.786	-0.091
980.174	-0.099
981.563	-0.096
982.951	-0.107
984.339	-0.093
985.728	-0.104
987.116	-0.106
988.504	-0.104
989.893	-0.106
991.281	-0.091
992.669	-0.107
994.058	-0.119
995.446	-0.105
996.835	-0.111
998.223	-0.104
999.611	-0.104
1001	-0.095
1002.388	-0.111
1003.776	-0.101
1005.165	-0.082
1006.553	-0.096
1007.941	-0.087
1009.33	-0.1
1010.718	-0.113
1012.106	-0.092
1013.495	-0.1
1014.883	-0.094
1016.271	-0.099
1017.66	-0.093
1019.048	-0.089
1020.436	-0.098
1021.825	-0.074
1023.213	-0.088
1024.602	-0.077
1025.99	-0.075
1027.378	-0.097
1028.767	-0.088
1030.155	-0.098
1031.543	-0.084
1032.932	-0.095
1034.32	-0.097
1035.708	-0.089
1037.097	-0.102
1038.485	-0.1
1039.873	-0.091
1041.262	-0.116
1042.65	-0.111
1044.038	-0.086
1045.427	-0.09
1046.815	-0.096
1048.203	-0.079
1049.592	-0.101
1050.98	-0.094
1052.368	-0.093
1053.757	-0.091
1055.145	-0.098
1056.534	-0.088
1057.922	-0.092
1059.31	-0.095
1060.699	-0.093
1062.087	-0.092
1063.475	-0.087
1064.864	-0.089
1066.252	-0.09
1067.64	-0.086
1069.029	-0.073
1070.417	-0.071
1071.805	-0.065
1073.194	-0.072
1074.582	-0.067
1075.97	-0.064
1077.359	-0.081
1078.747	-0.087
1080.135	-0.073
1081.524	-0.069
1082.912	-0.062
1084.301	-0.059
1085.689	-0.086
1087.077	-0.067
1088.466	-0.044
1089.854	-0.064
1091.242	-0.054
1092.631	-0.06
1094.019	-0.064
1095.407	-0.051
1096.796	-0.06
1098.184	-0.071
1099.572	-0.062
1100.961	-0.068
1102.349	-0.087
1103.737	-0.071
1105.126	-0.065
1106.514	-0.071
1107.902	-0.064
1109.291	-0.074
1110.679	-0.069
1112.067	-0.056
1113.456	-0.058
1114.844	-0.056
1116.233	-0.036
1117.621	-0.032
1119.009	-0.051
1120.398	-0.075
1121.786	-0.047
1123.174	-0.037
1124.563	-0.049
1125.951	-0.042
1127.339	-0.065
1128.728	-0.058
1130.116	-0.062
1131.504	-0.064
1132.893	-0.06
1134.281	-0.042
1135.669	-0.046
1137.058	-0.051
1138.446	-0.063
1139.834	-0.043
1141.223	-0.039
1142.611	-0.053
1144	-0.047
1145.388	-0.06
1146.776	-0.037
1148.165	-0.04
1149.553	-0.047
1150.941	-0.042
1152.33	-0.06
1153.718	-0.06
1155.106	-0.053
1156.495	-0.063
1157.883	-0.05
1159.271	-0.055
1160.66	-0.049
1162.048	-0.055
1163.436	-0.052
1164.825	-0.06
1166.213	-0.06
1167.601	-0.056
1168.99	-0.072
1170.378	-0.068
1171.766	-0.058
1173.155	-0.064
1174.543	-0.058
1175.932	-0.052
1177.32	-0.046
1178.708	-0.054
1180.097	-0.054
1181.485	-0.044
1182.873	-0.04
1184.262	-0.058
1185.65	-0.055
1187.038	-0.042
1188.427	-0.056
1189.815	-0.042
1191.203	-0.043
1192.592	-0.055
1193.98	-0.039
1195.368	-0.028
1196.757	-0.051
1198.145	-0.044
1199.533	-0.034
1200.922	-0.041
1202.31	-0.047
1203.699	-0.037
1205.087	-0.054
1206.475	-0.045
1207.864	-0.054
1209.252	-0.049
1210.64	-0.053
1212.029	-0.042
1213.417	-0.048
1214.805	-0.054
1216.194	-0.058
1217.582	-0.039
1218.97	-0.041
1220.359	-0.007
1221.747	-0.028
1223.135	-0.052
1224.524	-0.043
