Spot,TiCoO3,Co3O4 (+Ti2O),IrO2
170,0.27825023548832595,0.32294173058200204,0.00914536405522747
171,0.44118515707411116,0.20556638993846976,0.03435840238722176
172,0.6125699538850607,0.11896596348512004,0.034984554507122366
173,0.682593100218186,0.0,0.027094976708362896
174,0.7037635268571691,0.0,0.042895940726057895
175,0.7301949351975855,0.0,0.04438465557112893
176,0.688804398848747,0.0,0.06277336885234686
177,0.586010738894935,0.0,0.04783466211976378
178,0.6004199585373274,0.0,0.05872396673293494
179,0.0,0.5126760775320481,0.3073119173425444
180,0.0,0.5445740056067933,0.164305737190577
181,0.0,0.6472837299168913,0.04587538632058598
182,0.0,0.7806485882949541,0.0
183,0.0,0.8772426796438499,0.0
184,0.0,0.9060892993916195,0.0
185,0.0,0.803600701827249,0.0
186,0.0,0.697660224723159,0.0
187,0.0,0.6042376732560782,0.0
188,0.052806623573087116,0.4939780393077432,0.0
189,0.1102974000625181,0.4326826684483209,0.0
190,0.20066480366912243,0.39519412355108946,0.0
191,0.2771595664714806,0.3294149734181425,0.0
192,0.5025375762004678,0.21309500700472953,0.028400427518341063
193,0.6166694371175603,0.09779414973418145,0.036319205386692005
194,0.6914559294444567,0.0,0.02362798769247611
195,0.7453913810749977,0.0,0.03030344125874536
196,0.7591835219853574,0.0,0.024297756652728826
197,0.7083308503820609,0.0,0.039045929876827014
198,0.6014275140273679,0.0,0.05888224577124347
199,0.5620400659471859,0.0,0.040270927775399416
200,0.0,0.5460306281985884,0.22856464431138662
201,0.0,0.6380915084019135,0.12247987516542634
202,0.0,0.7121344336251094,0.03699386138788053
203,0.0,0.8234772049097814,0.0
204,0.0,0.9267303036185337,0.0
205,0.0,0.9759731758736352,0.0
206,0.0,0.9282973767250372,0.0
207,0.0,0.8224827740835543,0.0
208,0.0,0.7266940385312791,0.0
209,0.08540934196041289,0.5784221978448607,0.0
210,0.22460411302185102,0.46578434160809334,0.0
211,0.2812352656444226,0.38659816929024265,0.0
212,0.3208809406569419,0.39253503493336106,0.0
213,0.48567441661099625,0.27517113058290493,0.0
214,0.6673232112557671,0.12754077565153016,0.016684602106901085
215,0.7749622852769876,0.0,0.023284550890712078
216,0.8017133409233234,0.0,0.025814205455110574
217,0.7982267546101872,0.0,0.02801190776394419
218,0.7428739298480016,0.0,0.04026158130960969
219,0.6945326981159888,0.0,0.036479561417398255
220,0.6451397404976147,0.0,0.023405932769955253
221,0.0,0.6217169938800786,0.1452639930643115
222,0.0,0.6786224834512325,0.08273375449852118
223,0.0,0.7355263177694414,0.016146783251915233
224,0.0,0.8623636109192524,0.0
225,0.0,0.9613697067644171,0.0
226,0.0,0.9852601230003418,0.0
227,0.0,0.9980070002151831,0.0
228,0.0,0.9742111591134467,0.0
229,0.0,0.8149293282231163,0.0
230,0.10478890732371307,0.6736623675233354,0.0
231,0.2103590295267338,0.5351247684526848,0.0
232,0.27670113525759443,0.46094016862513193,0.0
233,0.2644058219195984,0.41641973302274776,0.0
234,0.49644964104365497,0.26179367723470437,0.0
235,0.6889306373187053,0.11330627747155601,0.0
236,0.8264994673416113,0.0,0.028824744847592742
237,0.8522463652207005,0.0,0.03331740157988259
238,0.8555949517157455,0.0,0.022750275140404685
239,0.7739330366337245,0.0,0.030043633944995377
240,0.775648102554774,0.0,0.03620582603698121
241,0.6380437271241779,0.0,0.037723191159538434
242,0.0,0.6940828469146839,0.04011582531369916
243,0.0,0.7813799843804314,0.01944406977130603
244,0.0,0.8342995496207215,0.0
245,0.0,0.9476809906237447,0.0
246,0.0,0.9464655082905603,0.0
247,0.0,1.0,0.0
248,0.0,0.9748397790387797,0.0
249,0.0,0.8914688263203278,0.0
250,0.13645855875917257,0.746712366695709,0.0
251,0.21332471879923434,0.590703422310703,0.0
252,0.30354628168899234,0.5158756814751615,0.0
253,0.30527964304047056,0.4626786356502361,0.0
254,0.5537660882174292,0.2748340608922416,0.0
255,0.7877557570492295,0.07131612171225384,0.0
256,0.918544823281824,0.0,0.0
257,0.8687104230635334,0.0,0.02120554258860694
258,0.8474955646649376,0.0,0.02282877323543613
259,0.8113751577327466,0.0,0.036953543300160104
260,0.7535715293829841,0.0,0.049773656699057985
261,0.0,0.7410528311596855,0.02418779823167311
262,0.0,0.7583673036380956,0.0
263,0.0,0.8277219506102619,0.0
264,0.0,0.9266224112220133,0.0
265,0.0,0.9513153241812895,0.0
266,0.0,0.9911857780666948,0.0
267,0.0,0.95795341516302,0.0
268,0.11860849137971592,0.881913352022644,0.0
269,0.11434983790248641,0.7755739589587557,0.0
270,0.24448575726877453,0.6596246939663022,0.0
271,0.2701192234792054,0.5623946092925901,0.0
272,0.34897174453724583,0.4665456827241251,0.0
273,0.6348665949485793,0.23243204810466017,0.0
274,0.8755774821933189,0.0,0.0
275,0.9386980239889684,0.0,0.0
276,0.9316545446371912,0.0,0.0
277,0.8308840979255073,0.0,0.022250819556764934
278,0.7891331415972225,0.0,0.03645976890160823
279,0.7389409350324038,0.0,0.020336076918114693
280,0.0,0.7702219995154626,0.0
281,0.0,0.7983981665816471,0.0
