Co%,Ir%,Ti%,Overpotential,Dissolution_Ir193 (S001),Dissolution_Co59 (S001),Dissolution_Ti47 (S001),Overpotential_std,Dissolution_Ir193 (S001)_std,Dissolution_Co59 (S001)_std,Dissolution_Ti47 (S001)_std
31.09,50.56,18.35,313.96034226898036,7.161806088278881,186.31320562364266,26.516299813282657,9.256072331798302,0.6930601134708293,42.29550277065385,3.2286413773024965
30.89,49.42,19.69,313.9751403428813,7.40607495402309,188.89159405618443,27.321272673975766,10.872184407313142,0.8140814651127051,49.555301211185466,3.770569506283124
30.65,48.39,20.97,314.71824441785,7.577617558548614,188.01043757274428,27.908260785500083,11.529580616207081,0.8634126873424438,52.494761399859684,3.9916892268102724
30.0,46.0,24.0,319.15366758732563,7.721527650763101,173.29818593794937,28.496090894499247,10.141510405957803,0.759184818842269,46.28092650862699,3.5216751228838508
29.67,45.53,24.8,321.0612561379322,7.667873640213557,166.78035211195726,28.46514550509571,9.571779054534858,0.7163883186073077,43.72481023411635,3.3272512527928026
29.07,43.17,27.75,330.4132532514011,7.215218823081165,141.1741516643727,27.895934154624506,1.0566944528543223,0.09225305245460808,5.349878280981405,0.7149248610114948
30.0,40.45,29.55,339.52492014730626,6.4923461187224945,125.07225300861968,26.032242840437945,9.737001102418393,0.7287311094076225,44.46632623288183,3.3819531751912715
28.71,40.19,31.1,346.38487294388733,5.609260989495778,102.46728961334966,24.481341956996374,11.026739253822731,0.825449007223979,50.26065141692787,3.8192331211566937
28.43,37.75,33.82,361.52033433613116,4.170022830446471,66.9135511369006,21.324346181549164,11.420188706053203,0.8550392454749638,52.01500373661818,3.9527883368447947
26.24,37.62,36.14,368.6591143568344,3.265765930121682,36.896393263205084,18.57558483956922,8.469503923428054,0.6341099031680851,38.74339678412289,2.959623548376854
26.37,37.81,35.82,367.5343518619288,3.362031376301107,39.96181935365199,18.90208576481924,8.730645866065741,0.6536564001033476,39.92300004114668,3.0482033866413185
23.56,37.5,38.94,373.29532387796775,3.11624614690043,30.850986750211447,16.615890524000086,1.0508443040166835,0.09156125983117179,5.31404978375637,0.7008403672720054
24.5,35.5,40.0,375.9280019199879,2.652090501822131,22.4390222084093,16.368867494797243,9.261117925995867,0.693388714978051,42.30154626873363,3.222728978102319
22.75,33.86,43.39,379.4536931955177,1.9037032988071938,9.620436622377952,15.71491427237181,10.421450119134647,0.7805001228646059,47.49998065248965,3.611800464481082
23.94,32.98,43.09,379.92718529157486,2.0359680114250955,12.020443346592046,15.734168253126384,11.317416893306484,0.8479212036004158,51.494134146440345,3.914374924948099
21.86,31.69,46.45,382.5144962857576,1.77841685610406,7.8786771335367405,15.482383498954412,10.00289410374395,0.7487226900068739,45.67189879172688,3.4732592206248354
20.33,30.22,49.45,384.47901595160715,1.7936729139217076,13.096154602865155,15.377538696770532,10.19743918817009,0.768215638136729,46.07035657258581,3.542030749962436
26.87,62.27,10.85,343.73299205919227,3.1034732511186425,57.11515293765845,12.554528469353539,9.855787221118389,0.7420827794148949,44.551768489995716,3.430607645649714
