Spot,Ti,Co,Ir
283,26.603081,46.92528,26.471638
284,28.17824,45.960316,25.861444
285,29.792547,44.963539,25.243915
286,31.455012,43.933109,24.611878
287,33.164827,42.87419,23.960984
288,34.923314,41.785232,23.291454
289,36.727078,40.667917,22.605005
290,38.571217,39.53763,21.891154
291,40.466192,38.37464,21.159168
292,42.383711,37.206119,20.41017
293,44.335844,36.021006,19.64315
294,46.302762,34.817006,18.880232
295,48.281364,33.600858,18.117778
296,50.252236,32.375508,17.372255
297,23.74946,50.150685,26.099854
298,25.238514,49.231867,25.529619
299,26.763997,48.264769,24.971234
300,28.330727,47.252797,24.416476
301,29.937421,46.206468,23.856112
302,31.592978,45.130697,23.276325
303,33.296707,44.019248,22.684045
304,35.045778,42.88654,22.067682
305,36.839138,41.734669,21.426193
306,38.675711,40.555988,20.768301
307,40.549998,39.365135,20.084867
308,42.464705,38.156758,19.378537
309,44.399205,36.938459,18.662337
310,46.356831,35.705758,17.93741
311,48.315078,34.462598,17.222325
312,25.419286,50.574495,24.006219
313,26.947241,49.554331,23.498428
314,28.508283,48.491675,23.000042
315,30.107298,47.404401,22.488301
316,31.757998,46.275082,21.96692
317,33.453932,45.119321,21.426746
318,35.190655,43.947135,20.86221
319,36.973063,42.75386,20.273077
320,38.792208,41.543975,19.663817
321,40.655072,40.316454,19.028474
322,42.550048,39.077721,18.372231
323,44.475253,37.824939,17.699809
324,46.414057,36.564262,17.021681
325,27.14818,50.795283,22.056536
326,28.698769,49.694745,21.606486
327,30.296017,48.549573,21.154411
328,31.938763,47.375537,20.6857
329,33.620827,46.182664,20.196509
330,35.344285,44.967583,19.688132
331,37.118959,43.731825,19.149216
332,38.925536,42.489557,18.584907
333,40.773129,41.23038,17.996491
334,42.653495,39.961112,17.385393
335,44.557139,38.683628,16.759233
336,30.501956,49.646158,19.851886
337,32.136675,48.429959,19.433365
338,33.803975,47.199229,18.996796
339,35.519841,45.942288,18.537872
340,37.277246,44.672699,18.050055
341,39.078732,43.389137,17.53213
342,40.908384,42.102725,16.988891
