	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
810.43	2485.70195987	810.51	6020.072221577	810.48	11122.599912244	810.43	13019.112600811	810.56	16522.766156775	810.44	21503.641263215
810.53	2499.91124311	810.61	6029.820739447	810.58	11159.728239194	810.53	13038.352103081	810.66	16510.484110841	810.54	21548.973938015
810.63	2496.93047789	810.71	6010.389868507	810.68	11120.671542084	810.63	13042.444365681	810.76	16511.869122575	810.64	21499.748281755
810.73	2520.43107198	810.81	6001.236187487	810.78	11120.725839914	810.73	13029.211886881	810.86	16507.336967425	810.74	21528.126229755
810.83	2508.96168644	810.91	6008.185086397	810.88	11139.567243954	810.83	13026.324638751	810.96	16505.929265575	810.84	21524.119045085
810.93	2500.63719936	811.01	6009.152510137	810.98	11158.913807934	810.93	13037.092426101	811.06	16517.726606125	810.94	21577.693328415
811.03	2504.36850387	811.11	6032.091024487	811.08	11152.918042934	811.03	13032.599438461	811.16	16512.172532791	811.04	21543.105734285
811.13	2505.92905618	811.21	6024.443232377	811.18	11135.450961374	811.13	13026.990911601	811.26	16508.319282225	811.14	21526.378920555
811.23	2516.04443791	811.31	6015.135024267	811.28	11190.916419594	811.23	13036.339534811	811.36	16520.761935608		
811.33	2500.11405947	811.41	6026.949425537	811.38	11183.107714884	811.33	13026.328845681	811.46	16514.796145141		
811.43	2512.07214929	811.51	6026.908821907	811.48	11177.647682574	811.43	13029.319469751	811.56	16502.773794825		
811.53	2526.82049007	811.61	6024.322082357	811.58	11150.921638534	811.53	13050.297200811	811.66	16504.493295358		
811.63	2485.76643327	811.71	6022.258169267	811.68	11152.435369954	811.63	13029.163046361	811.76	16508.048806391		
811.73	2503.96819089	811.81	6028.249075417	811.78	11195.479796914	811.73	13050.808723731	811.86	16507.083279491		
811.83	2505.04231411	811.91	6052.050779737	811.88	11185.136157264	811.83	13044.374580561	811.96	16513.096606108		
811.93	2507.30937069	812.01	6047.575581577	811.98	11178.531117224	811.93	13038.703160501	812.06	16512.855303791		
812.03	2516.62995667	812.11	6026.746519357	812.08	11180.571783424	812.03	13031.207935531	812.16	16502.752469075		
812.13	2543.87841718	812.21	6018.961851887	812.18	11196.986520284	812.13	13055.640094231	812.26	16516.407050608		
812.23	2528.50182878	812.31	6033.977123667	812.28	11173.287453374	812.23	13038.377430011	812.36	16504.734503458		
812.33	2505.60114871					812.33	13030.782884981				
812.43	2546.88023876					812.43	13040.933631051				
