	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
781.13	2857.95462529	781.21	6160.780415667	781.18	11322.010660314	781.13	13175.648008861	781.26	16575.065520258	781.14	21611.954186685
781.23	2774.19747713	781.31	6121.332361597	781.28	11265.354893934	781.23	13155.949318401	781.36	16565.107908591	781.24	21636.763465485
781.33	2711.96156204	781.41	6068.944894087	781.38	11221.754911754	781.33	13133.938515451	781.46	16556.856310875	781.34	21566.944853355
781.43	2658.93232931	781.51	6033.939482157	781.48	11141.475182284	781.43	13117.679183911	781.56	16569.811450391	781.44	21551.679732015
781.53	2622.65191296	781.61	6006.800524417	781.58	11077.430783024	781.53	13107.966543001	781.66	16570.345676775	781.54	21565.895701885
781.63	2562.36026598	781.71	5956.166436247	781.68	11049.339466114	781.63	13118.664783001	781.76	16564.282063141	781.64	21578.275783755
781.73	2501.58651509	781.81	5923.013710047	781.78	10969.589381974	781.73	13088.269980051	781.86	16550.533330625	781.74	21647.988308015
781.83	2459.86750151	781.91	5883.315732977	781.88	10921.664817574	781.83	13056.139442511	781.96	16545.290923325	781.84	21584.462293355
781.93	2419.04283142	782.01	5853.827829887	781.98	10889.168378624	781.93	13043.275406581	782.06	16559.202538858	781.94	21556.869330685
782.03	2378.48665098	782.11	5843.457219907	782.08	10835.354017514	782.03	13038.246843761	782.16	16556.721680275	782.04	21581.649806015
782.13	2362.88139318	782.21	5831.087979287	782.18	10808.619347484	782.13	13030.643977101	782.26	16541.383853275	782.14	21632.363493615
782.23	2317.38461271	782.31	5812.521861287	782.28	10751.895906794	782.23	13012.070799031	782.36	16558.217948375	782.24	21604.206830815
782.33	2280.08351564	782.41	5776.743650247	782.38	10747.621807464	782.33	13003.660958511	782.46	16553.333656458	782.34	21565.322692415
782.43	2226.52587156	782.51	5749.930681557	782.48	10724.528228064	782.43	12995.963483051	782.56	16543.530651791	782.44	21570.242573085
782.53	2212.33745169	782.61	5710.661255307	782.58	10686.438185064	782.53	12990.295706901	782.66	16529.983253641	782.54	21601.600503615
