	[Ir. spot (1,3)] Co2p		[CoIr (20:80). spot (3,3)] Co2p		[Ir-Co 40:60 Spot (8,9) JP08] Co2p		[Ir-Co 60:40 Spot (6,2) JP08] Co2p		[CoIr (8020). spot (5,3)] Co2p		[Co Spot (5,2)] Co2p
783.925	2631.10833227	783.84	3853.18002904	783.85	4348.32033206	783.92	5831.42131412	783.915	8294.94575942	783.87	8845.66784271
784.025	2666.18278893	783.94	3837.95650755	783.95	4329.43327563	784.02	5820.90106234	784.015	8308.39577339	783.97	8830.1322514
784.125	2633.06280507	784.04	3840.01203407	784.05	4348.34732853	784.12	5822.43621789	784.115	8330.85517792	784.07	8827.00333937
784.225	2622.26444567	784.14	3850.11190929	784.15	4348.46362656	784.22	5820.10773777	784.215	8303.57187642	784.17	8854.19683495
784.325	2619.45025663	784.24	3841.04328633	784.25	4347.32905943	784.32	5835.71064824	784.315	8296.64054962	784.27	8846.5598194
784.425	2624.5514335	784.34	3844.73190937	784.35	4343.28160321	784.42	5833.73373766	784.415	8300.27534949	784.37	8847.01664836
784.525	2601.7127832	784.44	3836.83604185	784.45	4340.36552881	784.52	5821.44750299	784.515	8284.80727425	784.47	8841.836487
784.625	2610.85150817	784.54	3849.78616567	784.55	4360.26653941	784.62	5814.35026051	784.615	8279.03771062	784.57	8819.38131892
784.725	2633.8961656	784.64	3830.68965085	784.65	4356.38157863	784.72	5821.94374287	784.715	8282.29414515	784.67	8806.67739729
784.825	2637.29135287	784.74	3829.49464918	784.75	4348.68063953	784.82	5818.69506244	784.815	8278.60608952	784.77	8819.38563871
784.925	2660.1380868	784.84	3807.39085967	784.85	4341.54833228	784.92	5813.75973774	784.915	8282.82076132	784.87	8823.63035284
785.025	2633.7239481	784.94	3860.73971607	784.95	4344.80083684	785.02	5823.43022061	785.015	8312.59442695	784.97	8830.98572463
785.125	2627.85339783	785.04	3846.44342929	785.05	4344.99488738	785.12	5821.82119219	785.115	8314.57899529	785.07	8813.55249596
785.225	2645.26907813	785.14	3837.58568581	785.15	4347.63397266	785.22	5822.64263917	785.215	8289.87679149	785.17	8826.742333
785.325	2634.02857897	785.24	3850.07573307	785.25	4344.12844206	785.32	5811.31537442	785.315	8277.79331502	785.27	8805.14488164
785.425	2608.1501256	785.34	3833.94587181	785.35	4338.31686919	785.42	5810.70931826	785.415	8306.11653562	785.37	8834.18092764
785.525	2620.0091591	785.44	3831.94379107	785.45	4344.58369259	785.52	5818.29130114	785.515	8308.98800089	785.47	8821.46529001
785.625	2666.36657237	785.54	3822.78905033	785.55	4354.73063578	785.62	5821.96068442	785.615	8291.50461315	785.57	8838.88742785
785.725	2627.97493213	785.64	3849.74627448	785.65	4333.21056619	785.72	5827.07381851	785.715	8272.10550125	785.67	8832.84211167
785.825	2617.0117783	785.74	3815.06486685	785.75	4334.75570241	785.82	5807.63084254	785.815	8299.07151795	785.77	8819.599185
785.925	2625.55870477	785.84	3796.95069304	785.85	4340.18095921	785.92	5814.78783269	785.915	8274.42203615	785.87	8854.67235647
786.025	2625.1326651	785.94	3810.64157826	785.95	4340.14560391	786.02	5825.18859956	786.015	8286.37666682	785.97	8843.96894567
786.125	2632.83908407	786.04	3830.62690518	786.05	4343.15434706	786.12	5817.47508901	786.115	8298.18282575	786.07	8833.42023433
786.225	2614.58714963	786.14	3800.50885878	786.15	4346.75699859	786.22	5808.46847186	786.215	8295.80472989	786.17	8818.26487641
786.325	2645.1816524	786.24	3808.78982948	786.25	4334.68932276	786.32	5812.26803804	786.315	8301.01584665	786.27	8831.27521623
786.425	2631.91342737	786.34	3833.58228807	786.35	4332.49103023	786.42	5801.74807964	786.415	8280.98299422	786.37	8811.96107084
786.525	2646.71853763	786.44	3815.03176411	786.45	4334.27057103	786.52	5807.91013336	786.515	8272.28062432	786.47	8824.99679993
786.625	2659.78202423	786.54	3848.50171704	786.55	4323.20681649	786.62	5806.03593807	786.615	8292.16717255	786.57	8827.84630041
786.725	2647.04825467	786.64	3854.34263548	786.65	4331.90623679	786.72	5806.30104326	786.715	8289.55433039	786.67	8832.88878607
786.825	2651.6045332	786.74	3828.47996437	786.75	4340.59967849	786.82	5818.90759971	786.815	8278.65175355	786.77	8813.83584751
786.925	2634.1430886	786.84	3840.89443792	786.85	4344.19316141	786.92	5806.47353136	786.915	8268.18899722	786.87	8831.19512287
787.025	2644.6395574	786.94	3836.07095015	786.95	4337.04557041	787.02	5793.73956242	787.015	8264.92986239	786.97	8834.11205807
787.125	2594.75821767	787.04	3809.19266329	787.05	4332.22968874	787.12	5812.68997952	787.115	8307.56085842	787.07	8831.15058212
787.225	2629.31187607	787.14	3809.79061348	787.15	4333.39035543	787.22	5823.30728671	787.215	8265.66839415	787.17	8846.698647
787.325	2613.77903527	787.24	3819.84928274	787.25	4328.68227814	787.32	5801.61108362	787.315	8284.78431959	787.27	8822.16105951
787.425	2623.89929297	787.34	3825.91253363	787.35	4319.41248896	787.42	5799.65101676	787.415	8289.33945252	787.37	8825.64540559
787.525	2650.75641913	787.44	3831.31208941	787.45	4338.15236141	787.52	5803.24099554	787.515	8267.96262825	787.47	8817.78555793
787.625	2636.6389463	787.54	3816.87846518	787.55	4337.48187693	787.62	5806.39345224	787.615	8297.75571009	787.57	8829.08856673
787.725	2634.7994459	787.64	3832.71557663	787.65	4325.96273763	787.72	5800.87975219	787.715	8307.88588292	787.67	8818.52074679
787.825	2636.04523373	787.74	3814.95938852	787.75	4321.59322683	787.82	5793.34029952	787.815	8246.88681862	787.77	8822.78023172
787.925	2625.74667843	787.84	3802.81634785	787.85	4321.82877178	787.92	5786.43975681	787.915	8277.79311812	787.87	8816.92214591
788.025	2620.39522583	787.94	3833.10212518	787.95	4336.09603469	788.02	5794.22670516	788.015	8282.21007845	787.97	8788.44491545
788.125	2631.61838617	788.04	3825.23676152	788.05	4338.47586299	788.12	5782.62757554	788.115	8290.70145035	788.07	8827.60544647
788.225	2593.13181537	788.14	3809.52564448	788.15	4337.83961208	788.22	5775.02096627	788.215	8298.34840419	788.17	8820.82098657
788.325	2631.9330458	788.24	3804.08339359	788.25	4329.62114263	788.32	5785.66873102	788.315	8266.61133545	788.27	8830.14633796
788.425	2627.5132837	788.34	3812.36570433	788.35	4334.15026494	788.42	5772.64091786	788.415	8278.58639665	788.37	8822.17773817
788.525	2627.8919971	788.44	3814.83272144	788.45	4343.67618841	788.52	5779.29586011	788.515	8285.67020382	788.47	8821.74046393
788.625	2614.1911025	788.54	3826.87840422	788.55	4330.70391981	788.62	5776.65909199	788.615	8281.47514042	788.57	8828.18156569
788.725	2622.71871597	788.64	3806.85901807	788.65	4328.44439766	788.72	5789.44645557	788.715	8288.99604879	788.67	8792.03690276
788.825	2624.163029	788.74	3817.06247548	788.75	4343.31869749	788.82	5781.87062097	788.815	8266.13585832	788.77	8815.64523036
788.925	2613.7181114	788.84	3788.92331692	788.85	4331.06171981	788.92	5782.72632421	788.915	8254.27679169	788.87	8822.34547428
789.025	2639.77058763	788.94	3786.43210337	788.95	4312.85198346	789.02	5789.06921196	789.015	8264.33334602	788.97	8799.07796652
789.125	2622.19055813	789.04	3813.09782418	789.05	4317.47391098	789.12	5777.85075034	789.115	8295.45437662	789.07	8807.33794593
789.225	2627.53877027	789.14	3821.48706163	789.15	4335.10475669	789.22	5771.25187959	789.215	8275.74464005	789.17	8809.66287497
789.325	2612.72884717	789.24	3817.44428374	789.25	4327.56745258	789.32	5775.71249074	789.315	8261.75047492	789.27	8810.79995471
789.425	2631.8227384	789.34	3838.44270448	789.35	4335.61861459	789.42	5783.84094684	789.415	8259.52822045	789.37	8809.38122532
