	[Ir. spot (1,3)] Ir4f		[CoIr (20:80). spot (3,3)] Ir4f		[Ir-Co 40:60 Spot (8,9) JP08] Ir4f		[Ir-Co 60:40 Spot (6,2) JP08] Ir4f		[CoIr (8020). spot (5,3)] Ir4f		[Co Spot (5,2)] Ir4f
58.7249999999968	291.589106444	58.740000000017	4414.2931934651	58.6499999999971	8439.3839103092	58.7199999999966	12554.6836194193	58.714999999997	16796.0814898174	58.6699999999976	20818.4401791055
58.8249999999967	277.542151422	58.8400000000169	4416.1237837771	58.749999999997	8428.5559037092	58.8199999999965	12563.5728754633	58.8149999999969	16785.1629819514	58.7699999999975	20819.7548357722
58.9249999999966	289.785745156	58.9400000000168	4414.5253321321	58.8499999999969	8434.9085704422	58.9199999999964	12565.2665618193	58.9149999999968	16791.8124611064	58.8699999999974	20819.9198066611
59.0249999999965	295.650030089	59.0400000000167	4422.7430354651	58.9499999999968	8439.2620521752	59.0199999999963	12560.3622698633	59.0149999999967	16799.6206171064	58.9699999999973	20815.3668328833
59.1249999999964	295.9577212	59.1400000000166	4420.4116932431	59.0499999999967	8436.5761994422	59.1199999999962	12570.9173115523	59.1149999999966	16797.9699367064	59.0699999999972	20815.2734739944
59.2249999999963	316.299864933	59.2400000000165	4426.4448415541	59.1499999999966	8444.3000965752	59.2199999999961	12584.8171319073	59.2149999999965	16786.2795127064	59.1699999999971	20818.3508544389
59.3249999999962	335.446792578	59.3400000000164	4443.9886645771	59.2499999999965	8448.7981401752	59.319999999996	12591.5770876413	59.3149999999964	16787.1357330174	59.269999999997	20817.3712668833
59.4249999999961	317.109397689	59.4400000000163	4454.2475204431	59.3499999999964	8454.9923887092	59.4199999999959	12596.5823978193	59.4149999999963	16800.1986927954	59.3699999999969	20815.4398375499
59.524999999996	330.751208711	59.5400000000162	4448.5720515991	59.4499999999963	8457.2499020422	59.5199999999958	12624.3121208413	59.5149999999962	16800.2474775514	59.4699999999968	20834.3802639944
59.6249999999959	336.430050578	59.6400000000161	4450.6438990651	59.5499999999962	8446.5999506422	59.6199999999957	12641.3958830193	59.6149999999961	16805.8501795064	59.5699999999967	20832.7226637722
59.7249999999958	323.421883333	59.740000000016	4473.4048775991	59.6499999999961	8468.7206054422	59.7199999999956	12672.6263030193	59.714999999996	16796.0153883064	59.6699999999966	20851.4626466615
59.8249999999957	343.1805328	59.8400000000159	4481.4580558651	59.749999999996	8466.9931451092	59.8199999999955	12711.4926274633	59.8149999999959	16809.1809504404	59.7699999999965	20844.9051195495
59.9249999999956	362.787476444	59.9400000000158	4506.2501809321	59.8499999999959	8487.9866744422	59.9199999999954	12772.0303961303	59.9149999999958	16815.1531367514	59.8699999999964	20829.5309084388
60.0249999999955	378.935527467	60.0400000000157	4516.2506219991	59.9499999999958	8498.7419772422	60.0199999999953	12834.4440371083	60.0149999999957	16808.9452271064	59.9699999999963	20845.7462684385
