Time	E	j
s	V RHE	mA cm-2
49.4001	1.04517	3.10419E-6
49.5001	1.04517	3.27685E-6
49.6001	1.04519	6.06658E-7
49.7001	1.04519	-3.26525E-6
49.8001	1.04518	1.28937E-6
49.9001	1.04519	1.86052E-6
50.0001	1.04519	-3.22198E-6
50.1001	1.04518	-1.23549E-6
50.2001	1.04517	3.15259E-6
50.3001	1.04517	-3.19766E-7
50.4001	1.04517	-3.04302E-6
50.5001	1.04516	-3.00174E-6
50.6001	1.04516	-3.14798E-6
50.7001	1.04516	-3.27194E-6
50.8001	1.04516	-2.73699E-6
50.9001	1.04515	3.02375E-6
51.0001	1.04515	3.27685E-6
51.1001	1.04516	1.4461E-6
51.2001	1.04517	-2.95181E-6
51.3001	1.04516	1.9124E-6
51.4001	1.04516	1.41372E-6
51.5001	1.04517	-2.97597E-6
51.6001	1.04516	2.07272E-7
51.7001	1.04517	-1.72623E-6
51.8001	1.04516	-3.2769E-6
51.9001	1.04515	-3.99997E-7
52.0001	1.04514	3.27685E-6
52.1001	1.04515	-1.27811E-6
52.2001	1.04515	-3.23656E-6
52.3001	1.04514	-1.50566E-6
52.4001	1.04514	-1.65392E-6
52.5001	1.04514	-3.27655E-6
52.6001	1.04513	-2.12205E-6
52.7001	1.04511	3.27319E-6
52.8001	1.04513	3.27685E-6
52.9001	1.04513	2.93323E-6
53.00011	1.04514	2.15328E-6
53.1001	1.04513	3.27685E-6
53.2001	1.04514	1.34266E-6
53.3001	1.04513	2.68347E-6
53.4001	1.04513	3.27685E-6
53.50011	1.04514	-1.54594E-6
53.6001	1.04512	-3.2769E-6
53.70011	1.04511	-8.16054E-7
53.8001	1.04511	2.26931E-6
53.90011	1.0451	1.5902E-6
54.00011	1.0451	3.19104E-6
54.10011	1.04509	3.27685E-6
54.20011	1.0451	3.27685E-6
54.3001	1.0451	3.27685E-6
54.40011	1.0451	3.27685E-6
54.50011	1.0451	3.27685E-6
54.60011	1.04511	1.69432E-6
54.70011	1.04512	-3.2769E-6
54.80011	1.04511	-2.36501E-6
54.90011	1.0451	2.37734E-6
55.00011	1.04511	-1.65444E-6
55.10011	1.04511	-3.18166E-6
55.20011	1.04509	2.85532E-6
55.30011	1.0451	-1.77477E-6
55.40011	1.0451	-3.2769E-6
55.50011	1.04508	-6.90438E-8
55.60011	1.04508	3.8612E-7
55.70011	1.04509	-3.2769E-6
55.80011	1.04508	-1.55936E-6
55.90011	1.04507	3.27685E-6
56.00011	1.04508	3.27685E-6
56.10011	1.04509	2.90462E-6
56.20011	1.0451	-3.03512E-6
56.30011	1.04509	-3.2769E-6
56.40011	1.04509	-3.2769E-6
56.50011	1.04507	-2.90677E-6
56.60011	1.04507	2.10574E-6
56.70011	1.04507	2.14636E-6
56.80011	1.04508	-2.18813E-6
56.90011	1.04507	-1.86634E-6
57.00011	1.04508	-2.56549E-6
57.10011	1.04508	-3.2769E-6
57.20011	1.04507	-3.2769E-6
57.30011	1.04507	-3.32353E-7
57.40011	1.04506	6.95652E-7
57.50011	1.04506	-3.1341E-6
57.60011	1.04506	-3.2769E-6
57.70011	1.04505	2.40914E-6
57.80011	1.04505	3.27685E-6
57.90011	1.04506	-2.75199E-7
58.00011	1.04505	2.57836E-7
58.10012	1.04505	3.27685E-6
58.20011	1.04506	-3.17931E-7
58.30011	1.04505	-1.61293E-6
58.40011	1.04504	3.26704E-6
58.50011	1.04505	3.44708E-7
58.60012	1.04503	-3.2769E-6
58.70011	1.04502	-1.6939E-6
58.80012	1.04501	-1.06993E-6
58.90011	1.04501	-3.23304E-6
59.00012	1.045	3.97835E-8
59.10012	1.04499	3.27685E-6
59.20012	1.04499	3.27685E-6
59.30012	1.045	-2.06961E-7
59.40011	1.045	-2.46376E-6
59.50012	1.04499	3.27005E-6
59.60012	1.04499	1.99611E-6
59.70012	1.045	-3.2769E-6
59.80012	1.04499	-9.07695E-7
59.90012	1.04499	3.25349E-6
60.00012	1.045	-9.59384E-7
60.10012	1.04499	-1.4864E-7
60.20012	1.04498	3.27685E-6
60.30012	1.04499	7.59754E-7
60.40012	1.04499	-3.2769E-6
60.50012	1.04497	7.50708E-7
60.60012	1.04496	3.27685E-6
60.70012	1.04496	3.27685E-6
60.80012	1.04496	1.85929E-6
60.90012	1.04495	2.9159E-6
61.00012	1.04495	3.27685E-6
61.10012	1.04496	1.47922E-6
61.20012	1.04497	-2.48606E-6
61.30012	1.04496	2.69665E-6
61.40012	1.04497	-8.84789E-7
61.50012	1.04496	-3.24008E-6
61.60012	1.04495	3.75098E-8
61.70012	1.04495	-8.0013E-7
61.80012	1.04495	-3.2769E-6
61.90012	1.04494	-2.565E-6
62.00012	1.04494	-1.13101E-6
62.10012	1.04494	-2.86513E-6
62.20012	1.04493	-2.46717E-6
62.30012	1.04494	-3.25095E-6
62.40012	1.04494	-3.2769E-6
62.50012	1.04494	-2.51063E-6
62.60012	1.04493	7.62854E-7
62.70012	1.04494	3.27685E-6
62.80012	1.04495	1.74483E-6
62.90012	1.04496	-3.2769E-6
63.00012	1.04495	-1.56933E-6
63.10012	1.04494	3.27685E-6
63.20012	1.04496	1.8085E-6
63.30012	1.04496	-1.47066E-6
63.40012	1.04495	3.12686E-6
63.50012	1.04495	5.54604E-7
63.60012	1.04496	-3.2769E-6
63.70012	1.04494	4.60254E-8
63.80012	1.04494	3.27685E-6
63.90012	1.04493	3.27558E-6
64.00013	1.04493	3.10116E-6
64.10013	1.04493	3.20109E-6
64.20012	1.04492	3.27685E-6
64.30012	1.04492	3.27685E-6
64.40013	1.04492	3.27685E-6
64.50013	1.04492	3.27685E-6
64.60013	1.04493	-3.15097E-7
64.70012	1.04493	-3.2769E-6
64.80012	1.04491	5.57237E-7
64.90013	1.04491	3.27685E-6
65.00013	1.04492	-1.04146E-6
65.10013	1.04492	-3.2543E-6
65.20012	1.04491	3.05028E-7
65.30013	1.04491	-1.4495E-6
65.40013	1.04491	-3.2769E-6
65.50013	1.0449	-3.27322E-6
65.60013	1.0449	-3.2769E-6
65.70012	1.0449	-3.18465E-6
65.80013	1.04489	-1.90206E-6
65.90013	1.04488	3.27685E-6
66.00013	1.04489	3.27685E-6
66.10013	1.04489	3.27685E-6
66.20013	1.04489	1.19299E-6
66.30013	1.04489	3.27685E-6
66.40013	1.0449	3.24196E-6
66.50013	1.0449	1.51821E-6
66.60013	1.0449	3.27685E-6
66.70013	1.04491	6.24013E-7
66.80013	1.04491	-3.2769E-6
66.90013	1.0449	-2.25694E-6
67.00013	1.0449	9.22894E-7
67.10013	1.0449	-9.26493E-7
67.20013	1.04489	2.4041E-6
67.30013	1.04489	3.27685E-6
67.40013	1.04489	2.58754E-6
67.50013	1.04489	2.33535E-6
67.60013	1.04488	2.83839E-6
67.70013	1.04489	3.27685E-6
67.80013	1.04489	3.27685E-6
67.90013	1.0449	-1.92486E-6
68.00014	1.04489	-1.31384E-6
68.10013	1.04488	3.15409E-6
68.20013	1.04489	-2.02803E-6
68.30013	1.04488	-8.72261E-7
68.40014	1.04487	3.27685E-6
68.50014	1.04489	2.96762E-7
68.60013	1.04489	-3.2769E-6
68.70013	1.04487	-7.8745E-8
68.80013	1.04487	1.47021E-6
68.90014	1.04487	-4.68269E-8
69.00014	1.04487	2.14004E-6
69.10013	1.04486	3.27685E-6
69.20013	1.04487	3.25394E-6
69.30014	1.04485	3.1819E-6
69.40014	1.04486	3.27685E-6
69.50014	1.04485	3.27685E-6
69.60013	1.04485	2.02796E-6
69.70013	1.04486	-3.2769E-6
69.80014	1.04485	-3.81135E-7
69.90014	1.04484	3.27685E-6
70.00014	1.04485	3.05129E-6
70.10013	1.04484	3.18269E-6
70.20014	1.04484	3.27685E-6
70.30014	1.04485	5.5718E-7
70.40014	1.04485	-3.2769E-6
70.50014	1.04484	-3.26621E-6
70.60013	1.04484	-2.53004E-6
70.70014	1.04482	2.30516E-6
70.80014	1.04483	-5.00389E-7
70.90014	1.04482	-8.03286E-7
71.00014	1.04482	2.57102E-6
71.10014	1.04482	3.27685E-6
71.20014	1.04481	3.27685E-6
71.30014	1.04481	3.27685E-6
71.40014	1.04482	6.38245E-7
71.50014	1.04482	-3.2769E-6
71.60014	1.0448	1.13848E-6
71.70014	1.0448	2.72824E-6
71.80014	1.04481	-2.35816E-6
71.90014	1.0448	-3.2769E-6
72.00014	1.0448	-3.2769E-6
