Time	E	j
s	V RHE	mA cm-2
39.60008	0.91833	5.92202E-7
39.70008	0.9184	-1.53215E-8
39.80008	0.91843	-1.7625E-6
39.90008	0.91847	-2.66935E-6
40.00008	0.91847	-5.04295E-7
40.10008	0.91854	5.47823E-8
40.20008	0.91865	2.88342E-6
40.30008	0.91877	8.7713E-7
40.40008	0.91879	2.39913E-6
40.50008	0.91882	2.61313E-6
40.60008	0.91894	-6.68535E-7
40.70008	0.91894	6.88646E-7
40.80008	0.91903	-7.53723E-7
40.90008	0.91909	-2.93572E-6
41.00008	0.91911	-3.22766E-6
41.10008	0.91909	1.65356E-6
41.20008	0.91918	1.70347E-6
41.30008	0.91929	2.89249E-6
41.40008	0.91942	8.30315E-8
41.50008	0.91948	-1.11696E-6
41.60008	0.91954	-2.23838E-6
41.70008	0.91956	-1.02839E-6
41.80008	0.91962	-2.57932E-6
41.90008	0.91959	2.66973E-6
42.00008	0.91969	3.84472E-7
42.10008	0.91977	-1.26294E-6
42.20008	0.91976	1.99078E-6
42.30008	0.91989	-3.07622E-6
42.40008	0.91993	-2.45084E-6
42.50008	0.91995	-2.34964E-6
42.60008	0.91999	-2.81466E-6
42.70008	0.92	-6.99825E-7
42.80009	0.92004	2.76325E-6
42.90008	0.92016	3.36697E-6
43.00008	0.92027	3.36927E-6
43.10008	0.92034	4.77982E-7
43.20008	0.9204	2.03836E-8
43.30009	0.92044	-3.12188E-6
43.40008	0.92047	-8.59358E-7
43.50009	0.92051	4.30817E-7
43.60008	0.92058	-8.86913E-7
43.70009	0.92056	3.2003E-6
43.80009	0.92063	3.31758E-6
43.90009	0.92076	-1.34039E-6
44.00009	0.92079	-8.47792E-7
44.10008	0.92081	1.34484E-6
44.20009	0.92085	-2.41931E-6
44.30009	0.92089	2.13813E-6
44.40009	0.92096	2.08313E-6
44.50009	0.92103	3.2222E-6
44.60009	0.92111	2.36438E-6
44.70009	0.92117	1.57058E-6
44.80009	0.92125	-1.96378E-6
44.90009	0.92128	-1.52844E-6
45.00009	0.92131	-2.58816E-6
45.10009	0.92136	-2.85311E-6
45.20009	0.92141	-2.47469E-6
45.30009	0.92141	-1.29115E-6
45.40009	0.9214	2.36162E-6
45.50009	0.92149	2.61417E-6
45.60009	0.9216	-1.90446E-6
45.70009	0.92163	-1.42031E-6
45.80009	0.92168	-2.43737E-6
45.90009	0.92172	-9.71283E-7
46.00009	0.92177	-1.99528E-6
46.10009	0.92182	-1.83716E-6
46.20009	0.92189	-1.3112E-6
46.30009	0.92192	-2.27395E-6
46.40009	0.92196	2.0099E-6
46.50009	0.92201	1.19588E-6
46.60009	0.92205	-4.03751E-8
46.70009	0.92205	-7.81365E-7
46.80009	0.92208	6.62916E-7
46.90009	0.9221	-1.25703E-6
47.00009	0.92212	3.20333E-6
47.10009	0.92221	1.28248E-6
47.20009	0.92224	1.80192E-6
47.30009	0.92232	1.44374E-6
47.40009	0.9224	-2.50209E-6
47.50009	0.92243	-2.27085E-6
47.60009	0.92247	-1.92176E-6
47.70009	0.92252	-1.83689E-6
47.80009	0.92258	1.64071E-6
47.9001	0.92264	2.29896E-6
48.00009	0.92271	1.87796E-6
48.10009	0.92274	1.63568E-6
48.20009	0.92279	6.39639E-7
48.30009	0.92284	-2.84297E-6
48.4001	0.92284	-1.74789E-7
48.50009	0.92291	-1.27112E-6
48.6001	0.92291	4.33318E-7
48.70009	0.92291	3.35578E-6
48.8001	0.92299	2.05787E-6
48.9001	0.92302	2.27258E-6
49.0001	0.92307	3.16432E-6
49.1001	0.92318	-2.71567E-7
49.20009	0.92321	-1.44835E-6
49.3001	0.92323	2.86232E-6
49.4001	0.92329	5.66852E-7
49.5001	0.92333	1.90511E-6
49.6001	0.92339	2.15927E-6
49.7001	0.92351	3.38837E-6
49.8001	0.92357	-2.10233E-6
49.9001	0.92355	6.59481E-8
50.0001	0.92359	1.54362E-6
50.1001	0.92365	-2.64141E-6
50.2001	0.92369	-1.29104E-6
50.3001	0.92369	9.8926E-7
50.4001	0.92369	3.45668E-6
50.5001	0.92383	2.96243E-7
50.6001	0.92387	-2.85117E-7
50.7001	0.92392	-3.2629E-6
50.8001	0.92393	-2.43782E-6
50.9001	0.92394	-2.38607E-6
51.0001	0.92394	-2.14808E-6
51.1001	0.92394	2.44412E-6
51.2001	0.92402	3.21093E-6
51.3001	0.92411	3.37024E-6
51.4001	0.92418	1.97085E-6
51.5001	0.92422	-3.0015E-6
51.6001	0.92426	-2.21841E-6
51.7001	0.9243	-1.16935E-7
51.8001	0.92433	1.18929E-6
51.9001	0.92437	-2.07043E-6
52.0001	0.92439	8.34966E-8
52.1001	0.92443	3.19096E-6
52.2001	0.92448	3.12593E-6
52.3001	0.92458	-2.79297E-6
52.4001	0.92455	1.09486E-6
52.5001	0.92458	1.10149E-6
52.6001	0.92467	-2.10861E-6
52.7001	0.92467	-8.29077E-7
52.8001	0.92466	3.08745E-6
52.9001	0.92472	1.67292E-6
53.00011	0.92476	2.67755E-6
53.1001	0.92484	3.32329E-6
53.2001	0.92491	-1.75368E-6
53.3001	0.92491	-2.23332E-6
53.4001	0.92496	7.96515E-7
53.50011	0.92501	6.60058E-7
53.6001	0.92504	2.21351E-6
53.70011	0.92511	3.09059E-6
53.8001	0.92515	3.01022E-6
53.90011	0.92525	-1.81088E-6
54.00011	0.92526	-1.10885E-6
54.10011	0.92527	-2.75124E-6
54.20011	0.92526	-1.90805E-6
54.3001	0.9253	-2.66382E-6
